Query,DB_Seq,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
5AVH:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,100,386,0,0,1,386,2,387,0,944
5AVH:A,4ZB0:A,100,386,0,0,1,386,1,386,0,944
5AVH:A,5Y4J:A,99.74,384,1,0,2,385,1,384,0,937
5AVN:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,100,387,0,0,1,387,2,388,0,946
5AVN:A,4ZB0:A,100,387,0,0,1,387,1,387,0,946
5AVN:A,5Y4J:A,99.74,384,1,0,2,385,1,384,0,937
5VR0:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,100,388,0,0,1,388,1,388,0,949
5VR0:A,4ZB0:A,100,387,0,0,2,388,1,387,0,946
5VR0:A,5Y4J:A,99.74,384,1,0,3,386,1,384,0,937
6QRR:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRR:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRR:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRS:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRS:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRS:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRT:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRT:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRT:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRU:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRU:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRU:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRV:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRV:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRV:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRW:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRW:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRW:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRX:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRX:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRX:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
6QRY:A,4ZB2:A_4ZB5:A_4ZBC:A_5Y4I:A_5ZYC:A_5ZYD:A_5ZYE:A_6KD2:A,99.23,388,3,0,1,388,1,388,0,942
6QRY:A,4ZB0:A,99.22,387,3,0,2,388,1,387,0,940
6QRY:A,5Y4J:A,98.96,384,4,0,3,386,1,384,0,931
