Query,DB_Seq,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
1BFD:A,1PO7:A,99.81,528,1,0,1,528,1,528,0,1254
1BJP:A,1QS0:B,32,25,17,0,28,52,52,76,0.006,23
1PI3:A,1PO7:A,99.81,528,1,0,1,528,1,528,0,1254
1Q6Z:A,1PO7:A,100,528,0,0,1,528,1,528,0,1257
1YNO:A,1PO7:A,99.81,527,1,0,1,527,2,528,0,1251
2FN3:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1253
2FWN:A,1PO7:A,99.81,528,1,0,1,528,1,528,0,1254
2V3W:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1251
3FZN:A,1PO7:A,99.81,528,1,0,1,528,1,528,0,1255
4GG1:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1253
4GM0:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1252
4GM1:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1252
4GM4:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1254
4GP9:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1254
4GPE:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1254
4JD5:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1251
4JU8:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1252
4JU9:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1250
4JUA:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1251
4JUB:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1250
4JUC:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1254
4JUF:A,1PO7:A,99.62,527,2,0,1,527,2,528,0,1248
4K9K:A,1PO7:A,99.62,524,2,0,1,524,2,525,0,1243
4K9L:A,1PO7:A,99.62,525,2,0,1,525,2,526,0,1244
4K9M:A,1PO7:A,99.62,524,2,0,1,524,2,525,0,1242
4K9N:A,1PO7:A,99.62,524,2,0,1,524,2,525,0,1244
4K9O:A,1PO7:A,99.62,527,2,0,1,527,2,528,0,1248
4K9P:A,1PO7:A,99.43,527,3,0,1,527,2,528,0,1248
4MPJ:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1254
4MPP:A,1PO7:A,99.05,528,5,0,1,528,1,528,0,1243
4MPR:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1252
4MQ5:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1253
4MZX:A,1PO7:A,99.43,528,3,0,1,528,1,528,0,1250
4OTB:A,1QS0:B,32,25,17,0,28,52,52,76,0.006,23
4OTC:A,1QS0:B,32,25,17,0,28,52,52,76,0.006,23
4Q2B:A,1QS0:A,28.89,45,32,0,23,67,158,202,0.008,25.5
4QEL:A,1PO7:A,99.62,528,2,0,1,528,1,528,0,1250
4X19:A,1QS0:B,32,25,17,0,28,52,52,76,0.006,23
4X1C:A,1QS0:B,32,25,17,0,28,52,52,76,0.006,23
4X1C:B,1QS0:B,32,25,17,0,28,52,52,76,0.006,23
5DEI:A,1PO7:A,99.81,524,1,0,1,524,2,525,0,1244
5DGD:A,1PO7:A,99.43,524,3,0,1,524,2,525,0,1240
5DGT:A,1PO7:A,99.62,524,2,0,1,524,2,525,0,1239
6A50:A,1PO7:A,98.48,528,8,0,22,549,1,528,0,1228
6BGN:A,1QS0:B,32,25,17,0,28,52,52,76,0.007,22.9
