Query,DB_Seq,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
2IU5:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,75,8,2,0,188,195,1,8,0.004,26.3
2IU5:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,190,195,2,7,0.009,25.4
2IU5:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,190,195,4,9,0.009,25.4
2IU5:A,4DVE:A,75,8,2,0,188,195,1,8,0.004,26.3
2IU5:A,4DVE:A,100,6,0,0,190,195,2,7,0.009,25.4
2IU5:A,4DVE:A,100,6,0,0,190,195,4,9,0.009,25.4
2IU5:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,100,6,0,0,190,195,585,590,0.009,25.4
2O20:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,55.56,18,8,0,168,185,22,39,0.01,26
3CT6:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,80,10,2,0,121,130,581,590,0.003,26.2
3CT6:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,100,6,0,0,126,131,585,590,0.008,24.8
3CT6:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,126,131,2,7,0.008,24.8
3CT6:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,126,131,3,8,0.008,24.8
3CT6:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,126,131,4,9,0.008,24.8
3CT6:A,4DVE:A,100,6,0,0,126,131,2,7,0.008,24.8
3CT6:A,4DVE:A,100,6,0,0,126,131,3,8,0.008,24.8
3CT6:A,4DVE:A,100,6,0,0,126,131,4,9,0.008,24.8
3DQP:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,75,8,2,0,212,219,1,8,0.008,25.7
3DQP:A,4DVE:A,75,8,2,0,212,219,1,8,0.008,25.7
3GEK:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,48,25,13,0,122,146,566,590,7.00E-05,31.8
3GEK:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,75,8,2,0,139,146,1,8,0.005,25.8
3GEK:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,141,146,2,7,0.009,24.9
3GEK:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,100,6,0,0,141,146,4,9,0.009,24.9
3GEK:A,4DVE:A,75,8,2,0,139,146,1,8,0.005,25.8
3GEK:A,4DVE:A,100,6,0,0,141,146,2,7,0.009,24.9
3GEK:A,4DVE:A,100,6,0,0,141,146,4,9,0.009,24.9
3IAN:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,87.5,8,1,0,314,321,582,589,0.01,26
3OPN:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,34.78,23,15,0,210,232,567,589,9.00E-04,29
4CIS:A,3F8C:A_3F8F:A,90,10,1,0,274,283,117,126,0.002,27.7
4GC3:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,75,8,2,0,277,284,1,8,0.008,26.1
4GC3:A,4DVE:A,75,8,2,0,277,284,1,8,0.008,26.1
4GK8:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,75,8,2,0,277,284,1,8,0.008,26.1
4GK8:A,4DVE:A,75,8,2,0,277,284,1,8,0.008,26.1
4GYF:A,3RLB:A_4MHW:A_4MUU:A_4POP:A_4POV:A,75,8,2,0,277,284,1,8,0.008,26.1
4GYF:A,4DVE:A,75,8,2,0,277,284,1,8,0.008,26.1
4KPT:A,6FXG:A,100,225,0,0,27,251,3,227,9.00E-155,530
4KQP:A,6FXG:A,52.22,90,43,0,12,101,8,97,4.00E-32,123
4KQP:A,6FXG:A,43.82,89,50,0,92,180,87,175,2.00E-25,101
4KQP:A,6FXG:A,56.41,39,17,0,189,227,185,223,6.00E-13,59.4
4KQP:A,3L6G:A_3L6H:A,29.63,54,38,0,35,88,18,71,2.00E-04,31
4KR5:A,6FXG:A,52.22,90,43,0,12,101,8,97,4.00E-32,123
4KR5:A,6FXG:A,43.82,89,50,0,92,180,87,175,2.00E-25,101
4KR5:A,6FXG:A,56.41,39,17,0,189,227,185,223,6.00E-13,59.4
4KR5:A,3L6G:A_3L6H:A,29.63,54,38,0,35,88,18,71,2.00E-04,31
4LA9:A,6FXG:A,100,225,0,0,30,254,3,227,1.00E-154,530
5OLW:A,3DRF:A_3DRG:A_3DRH:A_3DRI:A_3DRJ:A_3DRK:A_3FTO:A_3RYB:A,85.71,7,1,0,221,227,584,590,0.008,25.7
6FUU:A,3F8C:A_3F8F:A,100,126,0,0,1,126,1,126,5.00E-85,297
6FUU:A,3F8B:A_4ZZD:A,100,116,0,0,1,116,1,116,8.00E-77,270
6I8N:A,3F8C:A_3F8F:A,99.21,126,1,0,1,126,1,126,3.00E-84,295
6I8N:A,3F8B:A_4ZZD:A,99.14,116,1,0,1,116,1,116,4.00E-76,268
