Query,DB_Seq,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
2CUA:A,1XME:B_3S8F:B_3S8G:B_4FA7:B_4G7S:B_5NDC:B,100,135,0,0,1,135,34,168,3.00E-96,335
2CW5:A,3S8F:A_5NDC:A,48,25,13,0,99,123,449,473,8.00E-04,29.7
2CW5:A,4G7S:A,48,25,13,0,99,123,449,473,8.00E-04,29.7
2CW5:A,4FA7:A,48,25,13,0,99,123,448,472,8.00E-04,29.7
2CW5:A,3S8G:A,48,25,13,0,99,123,449,473,8.00E-04,29.7
2CW5:A,1XME:A,48,25,13,0,99,123,448,472,8.00E-04,29.7
2CWQ:A,3S8F:A_5NDC:A,85.71,7,1,0,5,11,3,9,7.00E-03,25.4
2CWQ:A,4G7S:A,85.71,7,1,0,5,11,3,9,7.00E-03,25.4
2CWQ:A,4FA7:A,85.71,7,1,0,5,11,2,8,7.00E-03,25.4
2CWQ:A,3S8G:A,85.71,7,1,0,5,11,3,9,7.00E-03,25.4
2CWQ:A,1XME:A,85.71,7,1,0,5,11,2,8,7.00E-03,25.4
2CZ4:A,3S8F:A_5NDC:A,85.71,7,1,0,4,10,3,9,6.00E-03,25.4
2CZ4:A,3S8F:A_5NDC:A,100,6,0,0,4,9,2,7,9.00E-03,24.9
2CZ4:A,4G7S:A,85.71,7,1,0,4,10,3,9,6.00E-03,25.4
2CZ4:A,4G7S:A,100,6,0,0,4,9,2,7,9.00E-03,24.9
2CZ4:A,4FA7:A,85.71,7,1,0,4,10,2,8,6.00E-03,25.4
2CZ4:A,3S8G:A,85.71,7,1,0,4,10,3,9,6.00E-03,25.4
2CZ4:A,3S8G:A,100,6,0,0,4,9,2,7,9.00E-03,24.9
2CZ4:A,1XME:A,85.71,7,1,0,4,10,2,8,6.00E-03,25.4
2EKG:A,3S8F:A_5NDC:A,100,8,0,0,4,11,2,9,5.00E-04,30.8
2EKG:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,2.00E-03,28.9
2EKG:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.006,27.1
2EKG:A,4G7S:A,100,8,0,0,4,11,2,9,5.00E-04,30.8
2EKG:A,4G7S:A,100,7,0,0,3,9,2,8,0.002,28.9
2EKG:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.006,27.1
2EKG:A,3S8G:A,100,8,0,0,4,11,2,9,5.00E-04,30.8
2EKG:A,3S8G:A,100,7,0,0,3,9,2,8,0.002,28.9
2EKG:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.006,27.1
2EKG:A,4FA7:A,69.23,13,4,0,1,13,1,13,6.00E-03,27.1
2EKG:A,4FA7:A,100,7,0,0,5,11,2,8,0.006,27.1
2EKG:A,1XME:A,69.23,13,4,0,1,13,1,13,0.006,27.1
2EKG:A,1XME:A,100,7,0,0,5,11,2,8,6.00E-03,27.1
2G37:A,3S8F:A_5NDC:A,100,8,0,0,4,11,2,9,5.00E-04,30.8
2G37:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.002,28.9
2G37:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.006,27.1
2G37:A,4G7S:A,100,8,0,0,4,11,2,9,5.00E-04,30.8
2G37:A,4G7S:A,100,7,0,0,3,9,2,8,0.002,28.9
2G37:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.006,27.1
2G37:A,3S8G:A,100,8,0,0,4,11,2,9,5.00E-04,30.8
2G37:A,3S8G:A,100,7,0,0,3,9,2,8,2.00E-03,28.9
2G37:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.006,27.1
2G37:A,4FA7:A,69.23,13,4,0,1,13,1,13,0.006,27.1
2G37:A,4FA7:A,100,7,0,0,5,11,2,8,0.006,27.1
2G37:A,1XME:A,69.23,13,4,0,1,13,1,13,0.006,27.1
2G37:A,1XME:A,100,7,0,0,5,11,2,8,6.00E-03,27.1
2J6V:A,3S8F:A_5NDC:A,87.5,8,1,0,6,13,2,9,0.001,29.2
2J6V:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.002,28.7
2J6V:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.002,28.7
2J6V:A,3S8F:A_5NDC:A,100,7,0,0,5,11,2,8,0.002,28.7
2J6V:A,3S8F:A_5NDC:A,35.71,28,18,0,7,34,2,29,3.00E-03,27.8
2J6V:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.009,26.4
2J6V:A,4G7S:A,87.5,8,1,0,6,13,2,9,0.001,29.2
2J6V:A,4G7S:A,100,7,0,0,3,9,2,8,0.002,28.7
2J6V:A,4G7S:A,100,7,0,0,4,10,2,8,0.002,28.7
2J6V:A,4G7S:A,100,7,0,0,5,11,2,8,0.002,28.7
2J6V:A,4G7S:A,35.71,28,18,0,7,34,2,29,0.003,27.8
2J6V:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.009,26.4
2J6V:A,3S8G:A,87.5,8,1,0,6,13,2,9,0.001,29.2
2J6V:A,3S8G:A,100,7,0,0,3,9,2,8,2.00E-03,28.7
2J6V:A,3S8G:A,100,7,0,0,4,10,2,8,0.002,28.7
2J6V:A,3S8G:A,100,7,0,0,5,11,2,8,0.002,28.7
2J6V:A,3S8G:A,35.71,28,18,0,7,34,2,29,3.00E-03,27.8
2J6V:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.009,26.4
2PL2:A,3S8F:A_5NDC:A,75,8,2,0,210,217,1,8,0.01,25.8
2PL2:A,4G7S:A,75,8,2,0,210,217,1,8,1.00E-02,25.8
2PL2:A,3S8G:A,75,8,2,0,210,217,1,8,0.01,25.8
2PX7:A,3S8F:A_5NDC:A,87.5,8,1,0,6,13,2,9,0.001,29.3
2PX7:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.001,28.8
2PX7:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.001,28.8
2PX7:A,3S8F:A_5NDC:A,100,7,0,0,5,11,2,8,0.001,28.8
2PX7:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.007,26.5
2PX7:A,4G7S:A,87.5,8,1,0,6,13,2,9,1.00E-03,29.3
2PX7:A,4G7S:A,100,7,0,0,3,9,2,8,0.001,28.8
2PX7:A,4G7S:A,100,7,0,0,4,10,2,8,0.001,28.8
2PX7:A,4G7S:A,100,7,0,0,5,11,2,8,1.00E-03,28.8
2PX7:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.007,26.5
2PX7:A,3S8G:A,87.5,8,1,0,6,13,2,9,0.001,29.3
2PX7:A,3S8G:A,100,7,0,0,3,9,2,8,1.00E-03,28.8
2PX7:A,3S8G:A,100,7,0,0,4,10,2,8,0.001,28.8
2PX7:A,3S8G:A,100,7,0,0,5,11,2,8,0.001,28.8
2PX7:A,3S8G:A,87.5,8,1,0,1,8,1,8,0.007,26.5
3BK2:A,3S8F:A_5NDC:A,77.78,9,2,0,1,9,1,9,0.009,27.4
3BK2:A,4G7S:A,77.78,9,2,0,1,9,1,9,0.009,27.4
3BK2:A,3S8G:A,77.78,9,2,0,1,9,1,9,0.009,27.4
3BZG:A,3S8F:A_5NDC:A,87.5,8,1,0,6,13,2,9,1.00E-03,29.2
3BZG:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,0.002,28.7
3BZG:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.002,28.7
3BZG:A,3S8F:A_5NDC:A,100,7,0,0,5,11,2,8,2.00E-03,28.7
3BZG:A,3S8F:A_5NDC:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3BZG:A,3S8F:A_5NDC:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3BZG:A,4G7S:A,87.5,8,1,0,6,13,2,9,1.00E-03,29.2
3BZG:A,4G7S:A,100,7,0,0,3,9,2,8,0.002,28.7
3BZG:A,4G7S:A,100,7,0,0,4,10,2,8,0.002,28.7
3BZG:A,4G7S:A,100,7,0,0,5,11,2,8,0.002,28.7
3BZG:A,4G7S:A,35.71,28,18,0,7,34,2,29,0.003,27.8
3BZG:A,4G7S:A,87.5,8,1,0,1,8,1,8,0.009,26.4
3BZG:A,3S8G:A,87.5,8,1,0,6,13,2,9,1.00E-03,29.2
3BZG:A,3S8G:A,100,7,0,0,3,9,2,8,2.00E-03,28.7
3BZG:A,3S8G:A,100,7,0,0,4,10,2,8,2.00E-03,28.7
3BZG:A,3S8G:A,100,7,0,0,5,11,2,8,0.002,28.7
3BZG:A,3S8G:A,35.71,28,18,0,7,34,2,29,3.00E-03,27.8
3BZG:A,3S8G:A,87.5,8,1,0,1,8,1,8,9.00E-03,26.4
3BZJ:A,3S8F:A_5NDC:A,87.5,8,1,0,6,13,2,9,1.00E-03,29.2
3BZJ:A,3S8F:A_5NDC:A,100,7,0,0,3,9,2,8,2.00E-03,28.7
3BZJ:A,3S8F:A_5NDC:A,100,7,0,0,4,10,2,8,0.002,28.7
3BZJ:A,3S8F:A_5NDC:A,100,7,0,0,5,11,2,8,0.002,28.7
